FLA0014		connell	Total
============================================
V9741065	198	198	
V9841005	68	68	
V9841006	155	155	
V9841007	162	162	
V9841009	153	153	
V9841010	179	179	
V9841011	20	20	
V9841026	34	34	
V9841031	198	198	
V9841033	184	184	
V9841034	201	201	
V9841036	184	184	
V9841037	184	184	
V9841039	54	54	
V9841041	210	210	
V9841042	182	182	
V9841046	198	198	
V9841047	179	179	
V9841049	146	146	
V9841050	74	74	
V9841051	120	120	
V9841053	210	210	
V9841054	198	198	
V9841058	132	132	
V9841059	184	184	
V9841067	1	1	

