FLA0030		novak	ward	Total
============================================
N9461738	202	147	349	
N9561721	225	166	391	
N9561732	225	166	391	
N9561762	191	149	340	
N9661702	204	149	353	
N9661705	186	152	338	
N9661706	220	174	394	
N9661713	204	149	353	
N9661717	164	-	164	
N9661725	-	166	166	
N9661727	226	176	402	
N9661728	227	176	403	
N9661731	228	188	416	
N9661738	198	128	326	
N9661740	203	147	350	
N9661741	225	166	391	
N9661743	-	103	103	
N9661747	227	175	402	
N9661748	149	176	325	
N9661753	227	162	389	
N9661758	-	169	169	
U9616041	215	-	215	
V9724004	69	-	69	
V9731059	227	176	403	
V9741014	225	-	225	
V9741015	227	176	403	
V9741016	167	188	355	
V9741018	-	181	181	
V9741024	216	176	392	
V9741029	225	166	391	
V9741030	44	15	59	
V9741032	228	188	416	
V9741034	226	183	409	
V9741036	-	157	157	
V9741037	204	149	353	
V9741038	225	-	225	
V9741040	225	166	391	
V9741041	129	176	305	
V9741042	228	188	416	
V9741043	166	-	166	
V9741044	163	-	163	
V9741047	225	166	391	
V9741048	204	149	353	
V9741049	227	176	403	
V9741053	-	166	166	
V9741055	225	166	391	
V9741057	224	120	344	
V9741060	225	166	391	
V9741064	204	149	353	
