MIA0014		career	Total
============================================
193001	7	7	
T9833004	341	341	
T9833006	341	341	
T9833009	340	340	
T9833013	348	348	
T9833014	349	349	
T9833025	297	297	
T9833028	349	349	
T9833030	349	349	
T9833032	297	297	
T9833035	348	348	
T9833037	297	297	
T9833039	349	349	
T9833043	349	349	
T9833045	333	333	
T9833046	341	341	
T9833050	297	297	
U9833002	297	297	
U9833005	332	332	
U9833007	297	297	
U9833009	297	297	
U9833011	343	343	
U9833014	297	297	
U9833015	341	341	
U9833019	349	349	
U9833020	349	349	
U9833022	342	342	
U9833023	349	349	
U9833024	349	349	
U9833025	3	3	
U9833026	341	341	
U9833030	349	349	
U9833031	341	341	
U9833034	349	349	
U9833037	349	349	
U9833038	324	324	
U9833039	326	326	
U9833040	336	336	
U9833041	348	348	
U9833043	122	122	
U9833044	297	297	
U9833045	349	349	
U9833047	349	349	
U9833050	297	297	

